Interactor A,Interactor B,Protein Name A,Protein Name B
ATG16L1,KISS1,Autophagy-related protein 16-1,Metastasis-suppressor KiSS-1
ATG16L1,PTTG1,Autophagy-related protein 16-1,Securin
ATG16L1,NPPB,Autophagy-related protein 16-1,Natriuretic peptides B
ATG16L1,BNIP3,Autophagy-related protein 16-1,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
ATG16L1,AMBN,Autophagy-related protein 16-1,Ameloblastin
ATG16L1,SPP1,Autophagy-related protein 16-1,Osteopontin
ATG16L1,DMP1,Autophagy-related protein 16-1,Dentin matrix acidic phosphoprotein 1
ATG16L1,CD247,Autophagy-related protein 16-1,T-cell surface glycoprotein CD3 zeta chain
ATG16L1,PCLAF,Autophagy-related protein 16-1,PCNA-associated factor
ATG16L1,NPPA,Autophagy-related protein 16-1,Natriuretic peptides A
ATG16L1,PTMA,Autophagy-related protein 16-1,Prothymosin alpha
ATG16L1,TP53INP1,Autophagy-related protein 16-1,Tumor protein p53-inducible nuclear protein 1
ATG16L1,TP53INP2,Autophagy-related protein 16-1,Tumor protein p53-inducible nuclear protein 2
BECN1,KISS1,Beclin-1,Metastasis-suppressor KiSS-1
BECN1,PTTG1,Beclin-1,Securin
BECN1,NPPB,Beclin-1,Natriuretic peptides B
BECN1,SERBP1,Beclin-1,SERPINE1 mRNA-binding protein 1
BECN1,BNIP3,Beclin-1,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
BECN1,PRM2,Beclin-1,Protamine-2
BECN1,BASP1,Beclin-1,Brain acid soluble protein 1
BECN1,CITED2,Beclin-1,Cbp/p300-interacting transactivator 2
BECN1,TMSB4X,Beclin-1,Thymosin beta-4
BECN1,AMBN,Beclin-1,Ameloblastin
BECN1,DCD,Beclin-1,Dermcidin
BECN1,SPP1,Beclin-1,Osteopontin
BECN1,CD247,Beclin-1,T-cell surface glycoprotein CD3 zeta chain
BECN1,ARPP19,Beclin-1,cAMP-regulated phosphoprotein 19
BECN1,WIPF1,Beclin-1,WAS/WASL-interacting protein family member 1
BECN1,PCLAF,Beclin-1,PCNA-associated factor
BECN1,NPPA,Beclin-1,Natriuretic peptides A
BECN1,PTMA,Beclin-1,Prothymosin alpha
BECN1,MYCNOS,Beclin-1,N-cym protein
BECN1,TP53INP1,Beclin-1,Tumor protein p53-inducible nuclear protein 1
HTT,BNIP3,Huntingtin,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
HTT,TP53INP1,Huntingtin,Tumor protein p53-inducible nuclear protein 1
HTT,TP53INP2,Huntingtin,Tumor protein p53-inducible nuclear protein 2
ATG9A,BNIP3,Autophagy-related protein 9A,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
ATG9A,TP53INP1,Autophagy-related protein 9A,Tumor protein p53-inducible nuclear protein 1
ATG9A,KISS1,Autophagy-related protein 9A,Metastasis-suppressor KiSS-1
ATG9A,PTTG1,Autophagy-related protein 9A,Securin
ATG9A,SPP1,Autophagy-related protein 9A,Osteopontin
ATG9A,CD247,Autophagy-related protein 9A,T-cell surface glycoprotein CD3 zeta chain
ATG9A,PCLAF,Autophagy-related protein 9A,PCNA-associated factor
ATG9A,TP53INP2,Autophagy-related protein 9A,Tumor protein p53-inducible nuclear protein 2
PIK3C3,HMGA1,Phosphatidylinositol 3-kinase catalytic subunit type 3,High mobility group protein HMG-I/HMG-Y
PIK3C3,BNIP3,Phosphatidylinositol 3-kinase catalytic subunit type 3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
PIK3C3,MBP,Phosphatidylinositol 3-kinase catalytic subunit type 3,Myelin basic protein
PIK3C3,DCD,Phosphatidylinositol 3-kinase catalytic subunit type 3,Dermcidin
PIK3C3,SPP1,Phosphatidylinositol 3-kinase catalytic subunit type 3,Osteopontin
PIK3C3,CD247,Phosphatidylinositol 3-kinase catalytic subunit type 3,T-cell surface glycoprotein CD3 zeta chain
PIK3C3,PCLAF,Phosphatidylinositol 3-kinase catalytic subunit type 3,PCNA-associated factor
PIK3C3,TP53INP1,Phosphatidylinositol 3-kinase catalytic subunit type 3,Tumor protein p53-inducible nuclear protein 1
ATG4B,BNIP3,Cysteine protease ATG4B,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
ATG4B,TP53INP1,Cysteine protease ATG4B,Tumor protein p53-inducible nuclear protein 1
ATG4B,SPP1,Cysteine protease ATG4B,Osteopontin
ATG4B,PCLAF,Cysteine protease ATG4B,PCNA-associated factor
ATG4B,TP53INP2,Cysteine protease ATG4B,Tumor protein p53-inducible nuclear protein 2
SQSTM1,KISS1,Sequestosome-1,Metastasis-suppressor KiSS-1
SQSTM1,SNCB,Sequestosome-1,Beta-synuclein
SQSTM1,PTTG1,Sequestosome-1,Securin
SQSTM1,NPPB,Sequestosome-1,Natriuretic peptides B
SQSTM1,PAGE4,Sequestosome-1,P antigen family member 4
SQSTM1,BNIP3,Sequestosome-1,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
SQSTM1,IBSP,Sequestosome-1,Integrin-binding sialoprotein
SQSTM1,DBNDD1,Sequestosome-1,Dysbindin domain-containing protein 1
SQSTM1,CITED2,Sequestosome-1,Cbp/p300-interacting transactivator 2
SQSTM1,TMSB4X,Sequestosome-1,Thymosin beta-4
SQSTM1,MBP,Sequestosome-1,Myelin basic protein
SQSTM1,AMBN,Sequestosome-1,Ameloblastin
SQSTM1,SPP1,Sequestosome-1,Osteopontin
SQSTM1,DMP1,Sequestosome-1,Dentin matrix acidic phosphoprotein 1
SQSTM1,CD247,Sequestosome-1,T-cell surface glycoprotein CD3 zeta chain
SQSTM1,ARPP19,Sequestosome-1,cAMP-regulated phosphoprotein 19
SQSTM1,PCLAF,Sequestosome-1,PCNA-associated factor
SQSTM1,NPPA,Sequestosome-1,Natriuretic peptides A
SQSTM1,PTMA,Sequestosome-1,Prothymosin alpha
SQSTM1,MYCNOS,Sequestosome-1,N-cym protein
SQSTM1,PKIA,Sequestosome-1,cAMP-dependent protein kinase inhibitor alpha
SQSTM1,TP53INP1,Sequestosome-1,Tumor protein p53-inducible nuclear protein 1
SQSTM1,TP53INP2,Sequestosome-1,Tumor protein p53-inducible nuclear protein 2
AMBRA1,BNIP3,Activating molecule in BECN1-regulated autophagy protein 1,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
AMBRA1,KISS1,Activating molecule in BECN1-regulated autophagy protein 1,Metastasis-suppressor KiSS-1
AMBRA1,SNCB,Activating molecule in BECN1-regulated autophagy protein 1,Beta-synuclein
