,Interactor A,Interactor B
0,P13473,"['Q15717', 'Q8NEB9', 'P55011', 'P29317', 'P12931', 'P11166', 'Q13464', 'Q04656', 'Q92574', 'P11233', 'Q00987', 'Q15382', 'P37840', 'P42166', 'P55072', 'P46937', 'Q14849', 'Q13586', 'P53999', 'P49757', 'Q13501', 'P53355', 'Q7KZI7', 'P04637', 'Q9NUM4', 'Q96AC1', 'P62330', 'P42858', 'Q92793', 'P30519', 'O15118', 'Q09472', 'P03372', 'P07814', 'Q16665', 'P06748']"
1,Q9H444,"['P02545', 'P21333', 'P07355', 'P08670', 'Q07157', 'Q9Y3E7', 'P16070', 'P15311', 'P09651', 'Q9UBP0', 'Q08209', 'Q92785', 'Q14444', 'P06748', 'Q92900', 'P11940', 'P55072', 'P42166', 'O95630', 'O00499', 'P14678', 'P21675', 'Q9NQS7', 'P03372', 'P49327', 'P35222', 'P04637', 'P51587', 'P40763', 'Q10589']"
2,Q13501,"['P04049', 'P07900', 'Q8TDY2', 'Q07820', 'Q92973', 'P0DMV9', 'Q07912', 'Q9UDY8', 'P40939', 'P55072', 'P11142', 'P35052', 'P49327', 'Q96HS1', 'P23588', 'Q04206', 'Q13148', 'O96013', 'P35222', 'Q9HAD4', 'Q00610', 'Q16666', 'Q13137', 'Q9UN86', 'P60520', 'Q9GZQ8', 'Q9UH77', 'Q7KZI7', 'Q9UQN3', 'Q96IZ0', 'P54725', 'O95278', 'P40818', 'Q13043', 'Q9C0C7', 'O95292', 'P84022', 'Q96A56', 'Q9BPW8', 'P06702', 'P21333', 'P09601', 'O43353', 'Q96GD4', 'P58004', 'P01137', 'O96017', 'P31431', 'Q02363', 'Q9Y3D6', 'Q14258', 'P42858', 'P55211', 'Q13501', 'P01106', 'P51617', 'Q96CV9', 'Q6GQQ9', 'O14964', 'Q15004', 'O95352', 'Q12905', 'P52732', 'P11274', 'Q9UHD9', 'P27986', 'Q16620', 'Q9UER7', 'O95140', 'P16070', 'P03372', 'Q9H0E2', 'P07814', 'Q16665', 'O60356', 'P55036', 'Q96F24', 'Q13573', 'Q8IXJ6', 'P78362', 'Q562E7', 'Q8TEV9', 'P60709', 'P42345', 'P01009', 'P06748', 'O75323', 'Q9HC29', 'P35637', 'O75385', 'Q15717', 'Q16543', 'Q13625', 'P50542', 'P40337', 'P98170', 'P21580', 'P23443', 'O00410', 'Q86VP1', 'O14727', 'Q53GG5', 'P08294', 'Q8N5K1', 'Q96B97', 'Q96A37', 'P11473', 'Q9Y371', 'P41743', 'Q12983', 'Q9NSV4', 'P41208', 'Q7KZF4', 'Q9BXW4', 'O43663', 'P55265', 'P09429', 'P61006', 'Q14596', 'P54252', 'P05106', 'Q13627', 'P28482', 'Q99497', 'P06239', 'Q9Y4K3', 'Q99623', 'P01116', 'Q15843', 'Q8IYW5', 'P13473', 'Q9C035', 'P10275', 'P10415', 'P49023', 'Q13049', 'P68363', 'P51149', 'P11940', 'Q5S007', 'Q14653', 'P43034', 'Q02556', 'Q9UBN7', 'P55957', 'P04083', 'Q8IZQ1', 'P61019', 'Q14457', 'Q92783', 'Q9BXM7', 'Q15382', 'P34741', 'Q9Y6K9', 'P37840', 'Q9H1Y0', 'Q8WZ42', 'Q6P1M3', 'O95166', 'P54578', 'Q9Y4P1', 'Q9H0R8', 'O00571', 'Q7Z3C6', 'Q06609', 'Q16186', 'P00519', 'P30793', 'P24385', 'Q13617', 'P30260', 'O94986', 'P19793', 'Q14694', 'P62820', 'Q8N884', 'P08670', 'P22626', 'P46531', 'P50750', 'Q96DA2', 'Q676U5', 'P29590', 'Q9H492', 'P04637', 'Q9UBU9', 'Q07157', 'Q9NQC7', 'Q9UHD2']"
3,Q9Y4P1,"['Q13188', 'O75385', 'Q9BXW4', 'Q9Y4P1', 'Q9NT62', 'P01106', 'O15294', 'Q9H492', 'P60520', 'O95166', 'O94817', 'Q9GZQ8', 'Q13501', 'Q9C0C7', 'Q9H0R8']"
4,Q8NEB9,"['P13473', 'Q9NQC7', 'P07900', 'Q96AX1', 'Q9BSB4', 'Q99570', 'Q6GQQ9', 'P0DMV9', 'P04637', 'Q9C0C7', 'Q8NEB9', 'O75143', 'Q6ZNE5', 'A8MW95', 'Q9P2Y5', 'Q96F24', 'P42345', 'P63165', 'Q92622', 'Q96GC9', 'Q14964', 'Q14457', 'Q9Y371', 'Q9BXW4']"
5,Q9UMX0,"['P03372', 'P02545', 'P42345', 'P62805', 'P50553', 'P07237', 'P55072', 'P42858', 'P49768', 'O75928', 'P00441', 'P11233', 'Q9UHD9', 'P46379', 'P05121', 'P54725', 'Q96CV9', 'P46937', 'Q16186', 'P54252', 'P13693', 'O95155', 'Q9NQC7', 'O15118', 'Q04206', 'P21333', 'Q9HD36', 'Q9NX55', 'Q13485', 'Q09472', 'P05067', 'P55036', 'Q13148']"
6,Q8TDY2,"['Q13501', 'Q05397', 'Q6ZNE5', 'P25054', 'Q6ZNA4', 'Q9UKV8', 'Q13635', 'P40763', 'Q96F24', 'Q12888', 'P54646', 'O75385', 'Q676U5', 'Q8N488', 'Q9H0R8', 'Q14457', 'Q9BXW4', 'Q14596', 'Q96LT7', 'Q96CV9', 'Q9H492', 'P07900', 'Q8TDY2', 'Q13547', 'Q8TEV9', 'Q9BXM7', 'Q9BSB4', 'Q14318', 'Q92900', 'Q9Y4P8', 'Q13137', 'Q9H1Y0', 'O95166', 'Q15910', 'P08670', 'P22626', 'Q9UHD2', 'P35222', 'Q9HAD4', 'Q9GZQ8', 'P04637', 'Q8IYT8', 'Q8WYN0', 'Q86VP1', 'P58004', 'O94817', 'P55072', 'O75143', 'Q14258']"
7,Q5S007,"['P28482', 'P52564', 'P63104', 'Q13469', 'P63000', 'Q92973', 'P31749', 'P05067', 'P10415', 'Q13148', 'P53355', 'Q13541', 'Q9Y3D6', 'Q13501', 'O14733', 'Q9UKV8', 'P37840', 'Q16543', 'Q05193']"
8,Q9H492,"['Q15717', 'P09651', 'P49023', 'P00533', 'Q01484', 'P02533', 'P41743', 'P42858', 'P05106', 'Q99623', 'P68363', 'O00410', 'P13647', 'Q15233', 'Q12983', 'Q9UL18', 'Q12888', 'P37840', 'O60568', 'P11940', 'Q8TDY2', 'Q07955', 'Q9Y4P1', 'O00571', 'P31153', 'Q06609', 'Q92945', 'P22626', 'O95429', 'P63241', 'P46531', 'P29590', 'Q13043', 'Q9NT62', 'P49327', 'Q13148', 'Q96CV9', 'P13861', 'Q9C0C7', 'P08670', 'Q13137', 'Q07666', 'Q12905', 'P0DMV9', 'P06702', 'Q9UKV8', 'Q9H0E2', 'P05067', 'Q13501', 'P06748']"
9,O75385,"['P07948', 'Q9Y4P1', 'P58004', 'P08670', 'Q96CV9', 'Q6GQQ9', 'P04637', 'Q8TDY2', 'Q96PU5', 'Q13137', 'Q9C0C7', 'Q16625', 'Q14457', 'Q14258', 'P42858', 'Q13501', 'Q13635', 'P42345', 'P06748', 'Q16543', 'Q676U5', 'O95630', 'Q06609', 'Q9BXW4', 'P50750', 'Q7Z3C6', 'Q9NQC7', 'Q14653']"
