Interactor A,Interactor B,Protein Name A,Protein Name B
TMSB4X,TP53,Thymosin beta-4,Cellular tumor antigen p53
TP53,TP53INP1,Cellular tumor antigen p53,Tumor protein p53-inducible nuclear protein 1
TP53,MAP1LC3B,Cellular tumor antigen p53,Microtubule-associated protein 1 light chain 3 beta
TP53,ULK1,Cellular tumor antigen p53,Serine/threonine-protein kinase ULK1
TP53,BECN1,Cellular tumor antigen p53,Beclin-1
TP53,HTT,Cellular tumor antigen p53,Huntingtin
TP53,STING1,Cellular tumor antigen p53,Stimulator of interferon genes protein
TP53,VPS16,Cellular tumor antigen p53,Vacuolar protein sorting-associated protein 16 homolog
TP53,PIK3C3,Cellular tumor antigen p53,Phosphatidylinositol 3-kinase catalytic subunit type 3
TP53,TRIM32,Cellular tumor antigen p53,E3 ubiquitin-protein ligase TRIM32
TP53,NBR1,Cellular tumor antigen p53,Next to BRCA1 gene 1 protein
TP53,LAMP2,Cellular tumor antigen p53,Lysosome-associated membrane glycoprotein 2
TP53,RAB7A,Cellular tumor antigen p53,Ras-related protein Rab-7a
TP53,GABARAPL2,Cellular tumor antigen p53,Gamma-aminobutyric acid receptor-associated protein-like 2
TP53,RB1CC1,Cellular tumor antigen p53,RB1-inducible coiled-coil protein 1
TP53,CHMP4B,Cellular tumor antigen p53,Charged multivesicular body protein 4b
TP53,SQSTM1,Cellular tumor antigen p53,Sequestosome-1
