Interactor A,Interactor B,Protein Name A,Protein Name B
TMSB4X,TP53,Thymosin beta-4,Cellular tumor antigen p53
TMSB4X,ANXA7,Thymosin beta-4,Annexin A7
TMSB4X,CDKN1A,Thymosin beta-4,Cyclin-dependent kinase inhibitor 1
TMSB4X,ACTG1,Thymosin beta-4,"Actin, cytoplasmic 2"
TMSB4X,MLH1,Thymosin beta-4,DNA mismatch repair protein Mlh1
TMSB4X,ACTA1,Thymosin beta-4,"Actin, alpha skeletal muscle"
TMSB4X,KRT31,Thymosin beta-4,"Keratin, type I cuticular Ha1"
TMSB4X,MYH6,Thymosin beta-4,Myosin-6
TMSB4X,ZNF526,Thymosin beta-4,Zinc finger protein 526
TMSB4X,HSF2,Thymosin beta-4,Heat shock factor protein 2
TMSB4X,CAV1,Thymosin beta-4,Caveolin-1
TMSB4X,PCNA,Thymosin beta-4,Proliferating cell nuclear antigen
TMSB4X,PPP4C,Thymosin beta-4,Serine/threonine-protein phosphatase 4 catalytic subunit
TMSB4X,APLP1,Thymosin beta-4,Amyloid beta precursor like protein 1
TMSB4X,HSF2BP,Thymosin beta-4,Heat shock factor 2-binding protein
TMSB4X,RAD21,Thymosin beta-4,Double-strand-break repair protein rad21 homolog
TMSB4X,UNC119,Thymosin beta-4,Protein unc-119 homolog A
TMSB4X,AKAP8L,Thymosin beta-4,A-kinase anchor protein 8-like
TMSB4X,EEF1A1,Thymosin beta-4,Elongation factor 1-alpha 1
TMSB4X,BMI1,Thymosin beta-4,Polycomb complex protein BMI-1
TMSB4X,KRT13,Thymosin beta-4,"Keratin, type I cytoskeletal 13"
TMSB4X,RIF1,Thymosin beta-4,Telomere-associated protein RIF1
TMSB4X,FHL3,Thymosin beta-4,Four and a half LIM domains protein 3
TMSB4X,ALAS1,Thymosin beta-4,"5-aminolevulinate synthase, non-specific, mitochondrial"
TMSB4X,TLE1,Thymosin beta-4,Transducin-like enhancer protein 1
TMSB4X,KRTAP8-1,Thymosin beta-4,Keratin-associated protein 8-1
TMSB4X,STAB2,Thymosin beta-4,Stabilin-2
TMSB4X,AGRN,Thymosin beta-4,Agrin
TMSB4X,TRIM23,Thymosin beta-4,E3 ubiquitin-protein ligase TRIM23
TMSB4X,KRT36,Thymosin beta-4,"Keratin, type I cuticular Ha6"
TMSB4X,GRB7,Thymosin beta-4,Growth factor receptor-bound protein 7
TMSB4X,HNRNPH1,Thymosin beta-4,Heterogeneous nuclear ribonucleoprotein H
TMSB4X,KRT15,Thymosin beta-4,"Keratin, type I cytoskeletal 15"
TMSB4X,RBPMS,Thymosin beta-4,RNA-binding protein with multiple splicing
TMSB4X,FAM118B,Thymosin beta-4,Protein FAM118B
TMSB4X,NLRP7,Thymosin beta-4,"NACHT, LRR and PYD domains-containing protein 7"
TMSB4X,TRIM27,Thymosin beta-4,Zinc finger protein RFP
TMSB4X,KRT40,Thymosin beta-4,"Keratin, type I cytoskeletal 40"
TMSB4X,UHMK1,Thymosin beta-4,Serine/threonine-protein kinase Kist
TMSB4X,TAF1D,Thymosin beta-4,TATA box-binding protein-associated factor RNA polymerase I subunit D
TMSB4X,PNMA1,Thymosin beta-4,Paraneoplastic antigen Ma1
TMSB4X,KRT34,Thymosin beta-4,"Keratin, type I cuticular Ha4"
TMSB4X,TK1,Thymosin beta-4,"Thymidine kinase, cytosolic"
TMSB4X,IGSF21,Thymosin beta-4,Immunoglobulin superfamily member 21
TMSB4X,TRIP6,Thymosin beta-4,Thyroid receptor-interacting protein 6
TMSB4X,COG6,Thymosin beta-4,Conserved oligomeric Golgi complex subunit 6
TMSB4X,GOLGA6L9,Thymosin beta-4,Golgin subfamily A member 6-like protein 9
TMSB4X,SMN2,Thymosin beta-4,Survival motor neuron protein
TMSB4X,BCAR1,Thymosin beta-4,Breast cancer anti-estrogen resistance protein 1
BCAR1,UVRAG,Breast cancer anti-estrogen resistance protein 1,UV radiation resistance-associated gene protein
BCAR1,CHMP1A,Breast cancer anti-estrogen resistance protein 1,Charged multivesicular body protein 1a
BCAR1,VPS11,Breast cancer anti-estrogen resistance protein 1,Vacuolar protein sorting-associated protein 11 homolog
BCAR1,TEX264,Breast cancer anti-estrogen resistance protein 1,Testis-expressed protein 264
BCAR1,HTT,Breast cancer anti-estrogen resistance protein 1,Huntingtin
CAV1,CALCOCO2,Caveolin-1,Calcium-binding and coiled-coil domain-containing protein 2
