Interactor A,Interactor B,Protein Name A,Protein Name B
TMSB4X,BECN1,Thymosin beta-4,Beclin-1
TMSB4X,SQSTM1,Thymosin beta-4,Sequestosome-1
TMSB4X,ATG5,Thymosin beta-4,Autophagy protein 5
TMSB4X,TRIM32,Thymosin beta-4,E3 ubiquitin-protein ligase TRIM32
TMSB4X,MAP1LC3B,Thymosin beta-4,Microtubule-associated protein 1 light chain 3 beta
TMSB4X,RAB7A,Thymosin beta-4,Ras-related protein Rab-7a
TMSB4X,ULK1,Thymosin beta-4,Serine/threonine-protein kinase ULK1
TMSB4X,TP53INP1,Thymosin beta-4,Tumor protein p53-inducible nuclear protein 1
TMSB4X,CHMP5,Thymosin beta-4,Charged multivesicular body protein 5
TMSB4X,CHMP2A,Thymosin beta-4,Charged multivesicular body protein 2a
TMSB4X,VPS18,Thymosin beta-4,Vacuolar protein sorting-associated protein 18 homolog
