Interactor A,Interactor B,Protein Name A,Protein Name B
TMSB4X,BECN1,Thymosin beta-4,Beclin-1
TMSB4X,SQSTM1,Thymosin beta-4,Sequestosome-1
TMSB4X,ATG5,Thymosin beta-4,Autophagy protein 5
TMSB4X,TRIM32,Thymosin beta-4,E3 ubiquitin-protein ligase TRIM32
TMSB4X,MAP1LC3B,Thymosin beta-4,Microtubule-associated protein 1 light chain 3 beta
TMSB4X,RAB7A,Thymosin beta-4,Ras-related protein Rab-7a
TMSB4X,ULK1,Thymosin beta-4,Serine/threonine-protein kinase ULK1
TMSB4X,TP53INP1,Thymosin beta-4,Tumor protein p53-inducible nuclear protein 1
TMSB4X,CHMP5,Thymosin beta-4,Charged multivesicular body protein 5
TMSB4X,CHMP2A,Thymosin beta-4,Charged multivesicular body protein 2a
TMSB4X,VPS18,Thymosin beta-4,Vacuolar protein sorting-associated protein 18 homolog
TP53,ATG16L1,Cellular tumor antigen p53,Autophagy-related protein 16-1
TP53,BECN1,Cellular tumor antigen p53,Beclin-1
TP53,HTT,Cellular tumor antigen p53,Huntingtin
TP53,ATG9A,Cellular tumor antigen p53,Autophagy-related protein 9A
TP53,PIK3C3,Cellular tumor antigen p53,Phosphatidylinositol 3-kinase catalytic subunit type 3
TP53,ATG4B,Cellular tumor antigen p53,Cysteine protease ATG4B
TP53,SQSTM1,Cellular tumor antigen p53,Sequestosome-1
TP53,AMBRA1,Cellular tumor antigen p53,Activating molecule in BECN1-regulated autophagy protein 1
TP53,ULK2,Cellular tumor antigen p53,Serine/threonine-protein kinase ULK2
TP53,MAP1LC3C,Cellular tumor antigen p53,Microtubule-associated protein 1 light chain 3 gamma
TP53,UBQLN2,Cellular tumor antigen p53,Ubiquilin-2
TP53,OPTN,Cellular tumor antigen p53,Optineurin
TP53,CHMP3,Cellular tumor antigen p53,Charged multivesicular body protein 3
TP53,PIP4K2B,Cellular tumor antigen p53,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta
TP53,CALCOCO2,Cellular tumor antigen p53,Calcium-binding and coiled-coil domain-containing protein 2
TP53,STX17,Cellular tumor antigen p53,Syntaxin-17
TP53,STING1,Cellular tumor antigen p53,Stimulator of interferon genes protein
TP53,RB1CC1,Cellular tumor antigen p53,RB1-inducible coiled-coil protein 1
TP53,ATG5,Cellular tumor antigen p53,Autophagy protein 5
TP53,TRIM32,Cellular tumor antigen p53,E3 ubiquitin-protein ligase TRIM32
TP53,MAP1LC3A,Cellular tumor antigen p53,Microtubule-associated protein 1 light chain 3 alpha
TP53,MAP1LC3B,Cellular tumor antigen p53,Microtubule-associated protein 1 light chain 3 beta
