Interactor A,Interactor B,Protein Name A,Protein Name B
MTOR,DAP,Serine/threonine-protein kinase mTOR,Death-associated protein 1
RAB23,DAP,Ras-related protein Rab-23,Death-associated protein 1
DAP,SMARCAD1,Death-associated protein 1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
DAP,MMP7,Death-associated protein 1,Matrilysin
DAP,PXN,Death-associated protein 1,Paxillin
DAP,HSD17B1,Death-associated protein 1,17-beta-hydroxysteroid dehydrogenase type 1
DAP,H2AC8,Death-associated protein 1,Histone H2A type 1-B/E
DAP,PTK2,Death-associated protein 1,Focal adhesion kinase 1
DAP,CDK2AP1,Death-associated protein 1,Cyclin-dependent kinase 2-associated protein 1
DAP,HMGN1,Death-associated protein 1,Non-histone chromosomal protein HMG-14
DAP,E2F1,Death-associated protein 1,Transcription factor E2F1
DAP,DAPK1,Death-associated protein 1,Death-associated protein kinase 1
DAP,TGM3,Death-associated protein 1,Protein-glutamine gamma-glutamyltransferase E
DAP,STAT3,Death-associated protein 1,Signal transducer and activator of transcription 3
DAP,EGFR,Death-associated protein 1,Epidermal growth factor receptor
DAP,CXCR4,Death-associated protein 1,C-X-C chemokine receptor type 4
DAP,ERBB2,Death-associated protein 1,Receptor tyrosine-protein kinase erbB-2
DAP,ESR1,Death-associated protein 1,Estrogen receptor
DAP,IL6,Death-associated protein 1,Interleukin-6
DAP,ELAVL1,Death-associated protein 1,ELAV-like protein 1
DAP,XRCC5,Death-associated protein 1,X-ray repair cross-complementing protein 5
DAP,H3-3B,Death-associated protein 1,Histone H3.3
DAP,TGFB1,Death-associated protein 1,Transforming growth factor beta-1 proprotein
DAP,EIF4EBP1,Death-associated protein 1,Eukaryotic translation initiation factor 4E-binding protein 1
DAP,OCLN,Death-associated protein 1,Occludin
DAP,DAP,Death-associated protein 1,Death-associated protein 1
DAP,MMP1,Death-associated protein 1,Interstitial collagenase
DAP,H2AZ2,Death-associated protein 1,Histone H2A.V
DAP,SNCG,Death-associated protein 1,Gamma-synuclein
DAP,CCND1,Death-associated protein 1,G1/S-specific cyclin-D1
