GO terms,Common Intersections
HPA:0600000,"['TOLLIP', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'UBXN6', 'SRC', 'MARK2', 'ABI2', 'UBQLN2', 'PIK3C3', 'LGALS8', 'S100A9', 'TRAPPC4', 'NPC1', 'CHMP3', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'AP4M1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0051656,"['PRKN', 'LYN', 'BECN1', 'PSEN1', 'SNF8', 'STAM', 'TRAPPC4', 'CHMP3']"
HP:0000716,"['PRKN', 'OPTN', 'SQSTM1', 'TP53', 'PSEN1', 'CISD2', 'VCP', 'UBQLN2', 'EPM2A']"
GO:0045936,"['PRKN', 'ABL1', 'TP53', 'LYN', 'PSEN1', 'INHBA', 'VPS25', 'EPM2A']"
GO:0002757,"['STING1', 'ABL1', 'HMGB1', 'SQSTM1', 'PHB2', 'LYN', 'BECN1', 'PSEN1', 'SRC', 'NOD1', 'BCL2', 'S100A9']"
GO:0051607,"['STING1', 'PHB2', 'BECN1', 'BNIP3', 'BCL2', 'ATG16L1', 'CHMP3']"
HPA:0270351,"['TOLLIP', 'ABL1', 'SQSTM1', 'BECN1', 'UBXN6', 'UBQLN2', 'PIK3C3', 'LGALS8', 'NPC1', 'CHMP3', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'PSEN1', 'ULK2', 'SNF8', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'PEX5']"
GO:0030522,"['UBA5', 'STING1', 'HMGB1', 'PHB2', 'BECN1', 'SRC', 'NOD1']"
GO:0001817,"['STING1', 'ABL1', 'HMGB1', 'LYN', 'PSEN1', 'SRC', 'INHBA', 'NOD1']"
GO:0001558,"['PRKN', 'ABL1', 'TP53', 'ULK2', 'INHBA', 'MTOR', 'EPM2A', 'BCL2', 'S100A9']"
GO:0061136,"['PRKN', 'PSEN1', 'VCP', 'OGT', 'UBQLN2', 'EPM2A']"
GO:0006874,"['ABL1', 'LYN', 'PSEN1', 'MCOLN1', 'BNIP3', 'BCL2']"
KEGG:05167,"['MAPK3', 'TP53', 'LYN', 'BECN1', 'SRC', 'MAP1LC3C', 'MTOR', 'PIK3C3', 'ATG3']"
GO:0043161,"['PRKN', 'AMBRA1', 'PSEN1', 'VCP', 'OGT', 'UBQLN2', 'EPM2A']"
GO:0042327,"['ABL1', 'PHB2', 'SQSTM1', 'TP53', 'LYN', 'PSEN1', 'SRC', 'RB1CC1', 'MARK2', 'INHBA', 'MTOR', 'BCL2']"
GO:0046903,"['FOXO1', 'PRKN', 'LYN', 'PSEN1', 'INHBA', 'STX17', 'SNF8', 'STAM']"
GO:0051235,"['ABL1', 'LYN', 'PSEN1', 'MCOLN1', 'S100A9', 'NPC1']"
HPA:0100201,"['TOLLIP', 'AMBRA1', 'ABL1', 'LYN', 'BECN1', 'UBXN6', 'SRC', 'MARK2', 'ABI2', 'UBQLN2', 'PIK3C3', 'NPC1', 'CHMP3', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'PSEN1', 'ULK2', 'BNIP3', 'SNF8', 'CALCOCO2', 'MAPK3', 'OPTN', 'VCP', 'VPS36', 'ARSB', 'UBA5']"
GO:0010648,"['ABL1', 'SQSTM1', 'LYN', 'SRC', 'VPS25', 'UBQLN2', 'NPC1', 'OGT', 'PIP4K2B', 'FOXO1', 'PHB2', 'TP53', 'PSEN1', 'INHBA', 'BCL2', 'PRKN', 'MAPK3', 'OPTN', 'VCP', 'RB1CC1', 'MTOR']"
GO:0072593,"['PRKN', 'FOXO1', 'TP53', 'BECN1', 'BNIP3', 'BCL2']"
