Enriched Proteins,Enriched Genes
Q9H0E2,TOLLIP
P00519,ABL1
Q13501,SQSTM1
P07948,LYN
Q14457,BECN1
Q9Y4P1,ATG4B
Q9BZV1,UBXN6
P12931,SRC
Q7KZI7,MARK2
Q9NYB9,ABI2
Q9UHD9,UBQLN2
Q8NEB9,PIK3C3
O00214,LGALS8
P06702,S100A9
Q9Y296,TRAPPC4
O15118,NPC1
Q9Y3E7,CHMP3
Q8N5K1,CISD2
O15294,OGT
Q92783,STAM
Q9NT62,ATG3
Q12778,FOXO1
Q86WV6,STING1
Q99623,PHB2
P09429,HMGB1
P04637,TP53
P49768,PSEN1
O00189,AP4M1
Q8IYT8,ULK2
Q12983,BNIP3
P10415,BCL2
Q96H20,SNF8
P56962,STX17
Q13137,CALCOCO2
P27361,MAPK3
O60260,PRKN
Q96CV9,OPTN
P55072,VCP
Q86VN1,VPS36
Q8TDY2,RB1CC1
P42345,MTOR
P15848,ARSB
Q9GZZ9,UBA5
Q676U5,ATG16L1
P50542,PEX5
O95278,EPM2A
P08476,INHBA
Q9BRG1,VPS25
Q9Y239,NOD1
Q9GZU1,MCOLN1
Q9BXW4,MAP1LC3C
Q9C0C7,AMBRA1
P78356,PIP4K2B
Q2KHT3,CLEC16A
Q7Z3C6,ATG9A
Q2TAZ0,ATG2A
P51397,DAP
