Interactor A,Interactor B,Confidence Value
P12931,P18031,1.0
P55072,P55072,1.0
P49768,Q92542,1.0
P10415,Q9BXH1,0.99
Q96AX1,Q9P253,0.99
P05198,P20042,0.99
O95295,Q6QNY1,0.99
Q96AX1,Q9H270,0.99
P27361,Q16828,0.99
O43633,Q9Y3E7,0.99
P12931,Q07666,0.99
Q96AX1,Q9H269,0.99
P07900,P07900,0.99
P10415,O43521,0.99
P55072,P54252,0.99
P10415,Q07812,0.99
P10415,P55957,0.99
P07900,P31948,0.99
Q13131,Q9Y478,0.99
P55072,Q9UNZ2,0.99
P04637,Q9UER7,0.99
Q13131,P54619,0.99
P49795,O14908,0.99
P54257,P42858,0.99
P10415,Q92934,0.99
P55072,O95155,0.98
P07900,P08238,0.98
O95166,Q9Y4P1,0.98
Q00610,Q9UJY4,0.98
P04637,Q07817,0.97
P50542,O75381,0.97
Q13501,Q05513,0.97
Q8WUM4,O75340,0.97
P00519,P46108,0.97
P07900,P04150,0.97
P42338,P27986,0.97
P00519,P16333,0.97
O94817,Q9H1Y0,0.97
Q86Y82,Q96AJ9,0.97
P55072,Q92890,0.97
P49768,Q96BI3,0.97
P12931,P29353,0.97
P10415,Q13323,0.97
P11142,O95816,0.97
P12931,P56945,0.97
P12931,P61978,0.97
P11142,O95817,0.97
Q00610,Q9UJY5,0.97
Q13131,O43741,0.97
P12931,Q05397,0.97
P07900,Q16543,0.97
P05198,P41091,0.97
O43353,Q9HC29,0.97
P50570,P62993,0.97
P55072,Q86TM6,0.97
P00519,Q99704,0.97
Q8WUM4,Q9H444,0.97
O14964,Q99816,0.97
P10415,Q07817,0.97
P27361,Q02750,0.97
Q92783,O95630,0.97
O75886,P40818,0.97
P04637,Q00987,0.97
O14964,Q92783,0.97
P55072,Q96CS3,0.97
P12931,P00533,0.97
P49768,P35222,0.97
Q676U5,Q9H1Y0,0.97
Q13501,Q13501,0.97
Q14457,Q07817,0.97
P11142,Q99933,0.97
Q00610,O00291,0.97
P61006,Q96C24,0.97
P55072,Q8TAT6,0.97
P00519,Q8IZP0,0.97
P04637,P38646,0.97
P04637,P04637,0.97
P54646,O43741,0.97
Q8NEB9,Q14457,0.97
O75886,O95630,0.97
O60784,Q9H0E2,0.97
Q96CV9,P61006,0.97
P04637,P09429,0.97
Q8WUM4,P12931,0.96
Q14457,Q99570,0.96
P05109,P05109,0.96
O95721,Q16623,0.96
O95295,P78537,0.96
P27361,Q16539,0.96
P27361,Q15349,0.96
P11142,P54652,0.96
P61006,P31150,0.96
P04637,P25963,0.96
P06702,P05109,0.96
P55072,Q04323,0.96
Q8WUM4,Q96B97,0.96
P07948,P22681,0.96
P12931,P29323,0.96
P42338,Q92569,0.96
P00519,Q13671,0.96
Q00610,O14964,0.96
P07900,O95801,0.96
O14964,O75886,0.96
O94817,Q9H0Y0,0.96
P27361,P49366,0.96
P07900,Q9UHD1,0.96
P27361,P28562,0.96
P27361,Q15256,0.96
P49768,Q9NZ42,0.96
P27361,P28482,0.96
P12931,Q14289,0.96
P49754,Q9P253,0.96
P07900,O43318,0.96
Q92783,P40818,0.96
P54646,Q9Y478,0.96
P61006,P50395,0.96
P49768,P49768,0.96
P12931,Q13444,0.96
P04637,Q9NS56,0.96
P27361,P54829,0.96
P07900,P35869,0.96
P00519,Q06609,0.96
P55072,Q9Y263,0.96
P07900,P53041,0.96
O95721,Q9H4M9,0.96
P27361,P36507,0.96
P04637,P51959,0.96
P11142,P11142,0.96
Q86Y82,P54920,0.96
Q96A56,P04637,0.96
Q13501,Q13163,0.96
P12931,P42768,0.96
P20073,P30626,0.96
P10415,P10415,0.96
O14925,O60830,0.96
P27361,Q15418,0.95
P11142,Q92598,0.95
O95352,O95166,0.95
P06702,P06702,0.95
P54257,Q14203,0.95
P51149,P24386,0.95
P27361,Q13115,0.95
P49768,P46531,0.95
P49768,Q02410,0.95
Q8NEB9,Q99570,0.95
Q7KZI7,P31946,0.95
P27361,P27361,0.95
Q92609,Q9UBQ0,0.95
P12931,P49023,0.95
Q13131,Q9UGJ0,0.95
P62820,P31150,0.95
Q12778,P31749,0.95
P07900,P31749,0.95
P54646,P54619,0.95
P07900,Q9H3U1,0.95
P11142,P31948,0.95
Q00610,P49418,0.95
P27361,P51812,0.95
Q13131,Q9UGI9,0.95
O95352,Q9NT62,0.95
P60520,O95352,0.95
P27361,P19419,0.95
P62820,P50395,0.95
O95352,Q9GZQ8,0.95
Q14457,Q9HD26,0.95
P07948,P14317,0.95
P12931,P35222,0.95
P50570,Q14247,0.95
P12931,P12931,0.94
P28328,O60683,0.94
O75351,Q9HD42,0.94
P10415,Q96LC9,0.94
O95352,O94817,0.94
Q8WUM4,Q99961,0.94
Q00610,P63010,0.94
P11142,Q08752,0.94
O75323,Q9BPW8,0.94
P09429,Q15109,0.94
P49754,Q9H269,0.94
P54257,P54257,0.94
Q96AX1,P49754,0.94
O75351,Q9UN37,0.94
P51149,P20339,0.94
P14416,Q96SB3,0.94
P07900,P34932,0.94
P10415,P62136,0.94
P61006,Q9Y2J0,0.94
P04637,Q96ST3,0.93
P07900,O60884,0.93
P09429,Q00839,0.93
P07948,O75563,0.93
Q00610,Q9Y6I3,0.93
Q86Y82,P60880,0.93
Q00610,Q99615,0.93
Q13049,Q13049,0.93
P10909,F7VJQ1,0.92
P27361,P04049,0.92
Q5VVQ6,P55072,0.92
Q00610,O75146,0.92
P50570,P18545,0.92
P11142,P0DMV9,0.92
P09429,Q04724,0.92
P51149,P62491,0.92
P05198,Q14232,0.92
P11142,O43765,0.92
O95140,O95140,0.92
P10909,P10909,0.92
P27361,Q9UK32,0.92
P54646,Q9UGJ0,0.92
P12931,Q9Y3L3,0.92
Q92783,P52333,0.92
Q96BY2,Q07812,0.92
P07900,O00170,0.92
P07948,P27815,0.92
P04637,Q9H3D4,0.91
P04637,Q8N2W9,0.91
P12931,O43184,0.91
P11142,Q9BZG8,0.91
Q00610,O43747,0.91
Q8WUM4,Q99962,0.91
O95352,Q9H0R8,0.91
O75351,Q9NP79,0.91
P11142,P17066,0.91
P12931,Q14247,0.91
P00519,O94875,0.9
P04637,Q12888,0.9
P00519,P27986,0.9
O75143,Q9BXW4,0.9
P07900,Q9UNE7,0.9
P55072,P25963,0.9
Q5S007,P61981,0.9
P07900,Q07869,0.9
Q00610,Q01968,0.9
P00519,P46109,0.9
P68543,P55072,0.9
P12931,P40763,0.9
P04637,Q92905,0.9
