Interactor A,Interactor B
P21675,P20226
P55072,P55072
Q13153,Q14155
Q13153,P63000
P55072,P54252
Q9BRT9,Q14691
Q07820,O43521
P40763,P42224
P27361,Q16828
P55072,Q9UNZ2
Q15542,P49848
P21675,P49848
O00410,P62826
P40763,P40763
Q13153,Q15052
P55072,O95155
Q13043,Q9H4B6
Q07820,Q07812
P49023,Q05397
Q12962,Q7Z7C8
P55072,Q86TM6
P11940,P15170
Q13480,Q06124
P27361,Q02750
Q13153,P60953
P11940,Q58A45
Q15542,Q16514
P26447,P35579
P63104,P10636
Q9BRT9,Q9Y248
Q92783,O14964
P40763,P23458
Q15276,P20339
Q8NEB9,Q14457
Q13177,Q14155
Q92783,O95630
Q13480,P27986
P55072,Q96CS3
O96018,P05067
P63104,P63104
Q13043,Q8WWW0
P56524,P63104
Q13480,P62993
Q13153,O43639
P60484,P60484
P55072,Q8TAT6
P49023,P18206
P15498,P62993
O14727,P55211
P55072,Q92890
Q96CV9,P61006
P26447,P26447
P27361,P28482
Q13480,P46109
P31749,Q92934
P27635,P40429
Q6P1X5,P21675
P49023,Q13418
P31749,P67775
Q13153,P16333
P49023,P46108
P63104,P68431
P55072,Q04323
Q15542,P21675
Q12962,Q15543
P34741,O00560
P63104,P62258
Q13480,O75791
P63104,P31946
P15498,P63000
P27361,P54829
Q15542,P20226
Q92783,P40818
P63000,O75914
P31749,Q96RU7
P27361,P36507
Q07820,Q92934
Q13153,Q9Y2X7
P27635,P36578
P56524,P31946
P27635,P46777
P31749,Q00987
P27635,P62750
Q13480,P19174
Q12962,P20226
P27635,P62829
P27361,Q16539
P27635,P62913
P31749,P31749
P27361,Q15349
P16035,P50281
P27635,P05388
P31749,Q9BPZ7
P27361,Q15256
P55072,Q9Y263
P27635,P32969
Q13480,P29353
Q12962,O75486
P63000,Q07960
P27361,P49366
Q9HAV4,P62826
P60484,O14745
P27361,P28562
P63104,P27448
P27635,P62917
Q13177,Q15052
P15498,P60953
Q9UBP0,P53990
P15498,P06241
Q12962,P49848
P27635,P42766
Q13480,P08581
P15498,P19174
P15498,P61978
Q13153,Q9H4E5
P27361,P51812
Q12962,Q15542
P31749,O60437
P11940,P06730
P27361,P19419
Q13153,Q14161
P11940,Q15365
P49023,P12931
O43791,P52945
Q15542,Q15545
Q9BRT9,Q9BRX5
P27361,Q13115
Q8NEB9,Q99570
P10619,Q99519
P27361,Q15418
Q13153,Q13177
P31749,Q12778
P49789,P49789
P40763,Q9P0J0
Q15542,Q15543
P31749,P07900
P63000,Q9BYG5
P27361,P27361
P63104,Q9UQL6
Q07820,Q13323
P34741,O14936
P27635,P46776
Q12962,Q92831
P27635,P62266
Q12962,Q9Y4A5
Q15542,Q16594
P27635,Q07020
P27635,P39023
O60508,P09661
P63104,P22681
Q13177,O43639
Q12962,Q92830
P27635,P15880
P27635,P62244
Q13153,Q9NVF7
P27635,P62249
P21580,Q12933
P27635,P30050
P49023,P56945
P31749,Q13043
P40763,Q8TAE8
P27635,P62269
P63000,Q03135
P18075,P27037
P27635,P23396
P60484,P09619
P27635,P46782
P27635,P62263
P27635,P60866
P27635,P62906
P21675,P62805
P27635,P62280
P11940,P11940
P55210,P55210
O14727,Q9HD36
Q92783,P52333
Q15542,Q15544
P27361,Q9UK32
Q9HAV4,P68104
P55072,Q5VVQ6
P31749,Q9UQF2
P27361,P04049
P15498,P29350
P31749,P32121
Q13043,Q9NRM7
Q07820,P13693
P63000,P42768
P56524,Q16665
P63104,Q8IVT5
Q96C86,Q96C86
Q07820,Q96LC9
Q9GZZ9,Q9Y3C8
P63000,Q13576
P55072,Q9BQE4
Q13480,P00533
Q14318,P10415
P56524,P27348
P63000,O15068
Q15013,Q12834
Q12962,O00268
P63104,P15056
Q13153,P04049
P15498,O43561
Q5T1C6,P31749
P26447,P23297
P00749,P05121
O14727,P34932
Q07820,Q9BXH1
P55072,O94888
P31749,P12268
P40763,P12931
P07550,O14745
Q07820,P55957
