Interactor A,Interactor B
P04637,O95197
P04637,Q03164
P04637,Q9HCB6
P04637,Q16740
P04637,O60566
P04637,Q15726
P04637,Q10589
P04637,P15382
P04637,P13693
P04637,Q92804
P04637,O75970
P04637,Q9Y6K1
P04637,Q6P1M3
P04637,P22234
P04637,Q9H4L7
P04637,O00273
P04637,P98177
P04637,Q96AE4
P04637,Q13635
P04637,Q96PU8
P04637,Q13469
P04637,P28482
P04637,P83731
P04637,P49913
P04637,P02511
P04637,P08581
P04637,P18564
P04637,Q9H4H8
P04637,Q14444
P04637,P42658
P04637,Q15583
P04637,P24864
P04637,Q01831
P04637,Q17RS7
P04637,Q96PY5
P04637,P49748
P04637,P09237
P04637,P29317
P04637,O43318
P04637,Q8NER1
P04637,P15056
P04637,Q15637
P04637,Q13029
P04637,Q9Y696
P04637,Q16667
P04637,P35222
P04637,P55285
P04637,P42226
P04637,Q7RTN6
P04637,O15234
P04637,P55072
P04637,Q96FI4
P04637,P60604
P04637,Q14691
P04637,P26599
P04637,P53778
P04637,Q92540
P04637,P07199
P04637,P01732
P04637,P61956
P04637,O95405
P04637,Q8IYB8
P04637,Q16576
P04637,P34741
P04637,P23771
P04637,P13569
P04637,P20340
P04637,Q8IZD2
P04637,P10721
P04637,O60885
P04637,P46108
P04637,O14672
P04637,Q96F81
P04637,P30038
P04637,O75807
P04637,P78330
P04637,Q14449
P04637,P02545
P04637,Q9NYV4
P04637,P15516
P04637,Q9BV68
P04637,P19793
P04637,P20810
P04637,P49023
P04637,P09651
P04637,Q15631
P04637,Q16143
P04637,P20823
P04637,P80192
P04637,P20807
P04637,P60880
P04637,Q16821
P04637,Q86WX3
P04637,P14921
P04637,O15350
P04637,P14061
P04637,Q9HAU5
P04637,P23443
P04637,P58004
P04637,Q96AY2
P04637,P07196
P04637,Q676U5
P04637,P46531
P04637,O43474
P04637,Q96GD4
P04637,P11171
P04637,Q6P4R8
P04637,P54577
P04637,P04908
P04637,P52799
P04637,Q6ZMT4
P04637,P49757
P04637,P53999
P04637,Q15059
P04637,P35219
P04637,P04083
P04637,Q9H832
P04637,P07948
P04637,P19634
P04637,P11233
P04637,Q96FQ6
P04637,P31431
P04637,Q9HC35
P04637,Q07889
P04637,O75506
P04637,P49768
P04637,P01215
P04637,Q05397
P04637,P49366
P04637,P11021
P04637,O14519
P04637,P48788
P04637,Q96RI1
P04637,Q8NBP7
P04637,Q9UBB5
P04637,P26196
P04637,O15273
P04637,O96013
P04637,P30260
P04637,P21397
P04637,P16035
P04637,Q16236
P04637,Q14653
P04637,Q15642
P04637,P02549
P04637,Q06787
P04637,P00734
P04637,P04004
P04637,Q03519
P04637,Q02078
P04637,Q14457
P04637,P27635
P04637,Q9Y6Q9
P04637,P30291
P04637,Q13415
P04637,Q07157
P04637,P35790
P04637,Q92731
P04637,O00585
P04637,O95997
P04637,P50750
P04637,P30531
P04637,P20849
P04637,P41567
P04637,Q07666
P04637,P54578
