,GO terms,Common Intersections
0,GO:0070663,['CDKN2A']
1,GO:2001237,[]
2,GO:0060560,"['RTN4', 'ABL1', 'MAPT']"
3,GO:0031098,[]
4,GO:0006954,"['RTN4', 'MAPT']"
5,GO:0051240,"['ABL1', 'RTN4', 'MAPT', 'OGT']"
6,GO:0006979,"['ABL1', 'MAPT']"
7,GO:0050778,"['RTN4', 'ABL1']"
8,GO:0071702,['CDKN2A']
9,GO:0016773,['ABL1']
10,GO:0014070,['ABL1']
11,GO:0007409,"['RTN4', 'ABL1', 'MAPT']"
12,GO:0032436,[]
13,GO:0032101,['RTN4']
14,GO:0001558,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'CDKN2A']"
15,GO:0070647,"['ABL1', 'CDKN2A', 'OGT']"
16,GO:0030217,"['ABL1', 'CDKN2A']"
17,GO:0023061,[]
18,GO:0140546,['RTN4']
19,GO:0000775,[]
20,GO:2001233,[]
21,GO:0032991,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
22,WP:WP3844,[]
23,HPA:0600000,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
24,GO:0060341,"['EIF4G1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
25,GO:0031398,[]
26,GO:0010558,"['EIF4G1', 'CDKN2A', 'MAPT', 'OGT', 'DAPL1']"
27,GO:1901875,['CDKN2A']
28,GO:0019901,"['ABL1', 'MAPT', 'CDKN2A']"
29,GO:0042127,"['RTN4', 'ABL1', 'CDKN2A']"
30,GO:0009605,"['EIF4G1', 'ABL1', 'RTN4', 'OGT', 'DAPL1']"
31,REAC:R-HSA-69278,"['ABL1', 'CDKN2A']"
32,HPA:0460671,"['OGT', 'CDKN2A', 'EIF4G1']"
33,GO:0043269,['ABL1']
34,GO:0110165,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
35,GO:1901361,"['OGT', 'CDKN2A']"
36,GO:0050767,"['RTN4', 'MAPT']"
37,GO:0030054,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'OGT']"
38,GO:0006974,"['ABL1', 'CDKN2A', 'MAPT']"
39,GO:0023056,"['RTN4', 'ABL1', 'OGT', 'CDKN2A']"
40,GO:0006886,['CDKN2A']
41,HPA:0530000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
42,GO:1901701,"['ABL1', 'MAPT', 'OGT']"
43,GO:0034504,['CDKN2A']
44,GO:0016772,"['ABL1', 'CDKN2A']"
45,GO:0045595,"['EIF4G1', 'ABL1', 'TUG1', 'MAPT', 'RTN4', 'CDKN2A']"
46,HPA:0420052,"['ABL1', 'OGT', 'EIF4G1']"
47,GO:0050790,"['ABL1', 'MAPT', 'CDKN2A']"
48,WP:WP366,[]
49,GO:1902533,"['RTN4', 'ABL1', 'OGT', 'CDKN2A']"
50,GO:0001568,"['RTN4', 'ABL1']"
51,GO:0031410,[]
52,GO:0060627,['ABL1']
53,KEGG:04218,['CDKN2A']
54,HPA:0610000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
55,GO:0008286,['OGT']
56,GO:0009411,[]
57,GO:0071840,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
58,GO:0051091,[]
59,HPA:0010011,"['ABL1', 'MAPT', 'OGT', 'EIF4G1']"
60,GO:0031974,"['ABL1', 'MAPT', 'OGT', 'CDKN2A']"
61,GO:0043434,['OGT']
62,WP:WP231,[]
63,GO:0050776,"['RTN4', 'ABL1']"
64,GO:0048588,"['RTN4', 'ABL1', 'MAPT']"
65,GO:0022603,"['RTN4', 'ABL1', 'MAPT']"
