,Uniprot IDs,Gene,Enriched
0,P00533,['EGFR'],[False]
1,P28482,['MAPK1'],[False]
2,P04626,['ERBB2'],[False]
3,P27361,['MAPK3'],[False]
4,P35222,['CTNNB1'],[False]
5,P01116,['KRAS'],[False]
6,Q16665,['HIF1A'],[False]
7,Q05397,['PTK2'],[False]
8,P12931,['SRC'],[False]
9,P03372,['ESR1'],[False]
10,P60484,['PTEN'],[False]
11,P61073,['CXCR4'],[False]
12,P42574,['CASP3'],[False]
13,P01137,['None'],[False]
14,O15392,['BIRC5'],[False]
15,P42224,['STAT1'],[False]
16,P05231,['IL6'],[False]
17,P63104,['YWHAZ'],[False]
18,Q04206,['RELA'],[False]
19,P10275,['AR'],[False]
20,P37231,['PPARG'],[False]
21,Q13547,['HDAC1'],[False]
22,P11021,['HSPA5'],[False]
23,P29317,['EPHA2'],[False]
24,P08253,['MMP2'],[False]
25,P10721,['KIT'],[False]
26,P01112,['HRAS'],[False]
27,P24385,['CCND1'],[False]
28,P38936,['CDKN1A'],[False]
29,P46531,['NOTCH1'],[False]
30,Q01094,['E2F1'],[False]
31,P06400,['RB1'],[False]
32,P31751,['AKT2'],[False]
33,P46937,['YAP1'],[False]
34,P98170,['XIAP'],[False]
35,P25054,['PSMC3IP'],[False]
36,Q08050,['FOXM1'],[False]
37,Q00534,['CDK6'],[False]
38,P11473,['VDR'],[False]
39,P08047,['SP1'],[False]
40,P05019,['IGF1'],[False]
41,P16220,['CREB1'],[False]
42,O15350,['TP73'],[False]
43,Q13153,['PAK1'],[False]
44,P84022,['SMAD3'],[False]
45,P46527,['CDKN1B'],[False]
46,Q93009,['USP7'],[False]
47,P01100,['FOS'],[False]
48,O15151,['MDM4'],[False]
49,P11166,['SLC2A1'],[False]
50,Q15910,['EZH2'],[False]
51,Q16611,['BAK1'],[False]
52,P0DMV9,['HSPA1B'],[False]
53,P16070,['CD44'],[False]
54,P04049,['RAF1'],[False]
55,P04150,['NR3C1'],[False]
56,P03956,['MMP1'],[False]
57,Q15717,['ELAVL1'],[False]
58,P15056,['BRAF'],[False]
59,Q96GD4,['AURKB'],[False]
60,P29590,['PML'],[False]
61,O43474,['KLF4'],[False]
62,Q16620,['NTRK2'],[False]
63,Q13485,['SMAD4'],[False]
64,Q13043,['STK4'],[False]
65,O15169,['AXIN1'],[False]
66,P35916,['FLT4'],[False]
67,P27986,['PIK3R1'],[False]
68,Q13177,['PAK2'],[False]
69,P01111,['NRAS'],[False]
70,O60885,['BRD4'],[False]
71,P37173,['TGFBR2'],[False]
72,P42226,['STAT6'],[False]
73,P14921,['ETS1'],[False]
74,Q13164,['MAPK7'],[False]
75,P06756,['ITGAV'],[False]
76,P14635,['CCNB1'],[False]
77,Q00987,['MDM2'],[False]
78,P53778,['MAPK12'],[False]
79,P09237,['MMP7'],[False]
80,P25490,['YY1'],[False]
81,P55211,['CASP9'],[False]
82,P07948,['LYN'],[False]
83,P19793,['RXRA'],[False]
84,P09038,['FGF2'],[False]
85,P36888,['FLT3'],[False]
86,P41743,['PRKCI'],[False]
87,Q15796,['SMAD2'],[False]
88,P63165,['SUMO1'],[False]
89,Q6R327,['RICTOR'],[False]
90,P98177,['FOXO4'],[False]
91,P52630,['STAT2'],[False]
92,P05067,['APP'],[False]
93,P06239,['LCK'],[False]
94,Q14258,['TRIM25'],[False]
95,P02545,['LMNA'],[False]
96,Q07912,['TNK2'],[False]
97,Q13469,['NFATC2'],[False]
98,P10451,['SPP1'],[False]
99,P35568,['IRS1'],[False]
100,Q99958,['FOXC2'],[False]
101,P56524,['HDAC4'],[False]
102,O14965,['AURKA'],[False]
103,Q00653,['NFKB2'],[False]
104,Q15843,['NEDD8'],[False]
105,Q9Y6K9,['IKBKG'],[False]
106,P60709,['ACTB'],[False]
107,P53350,['PLK1'],[False]
108,Q15109,['AGER'],[False]
109,P01009,['SERPINA1'],[False]
110,Q9Y261,['FOXA2'],[False]
111,P08631,['HCK'],[False]
112,P09651,['HNRNPA1'],[False]
113,P07355,['ANXA2'],[False]
114,Q9UKV8,['AGO2'],[False]
115,Q9BPZ7,['MAPKAP1'],[False]
116,P18075,['BMP7'],[False]
117,Q96RI1,['NR1H4'],[False]
118,O75469,['NR1I2'],[False]
119,Q9UPY3,['DICER1'],[False]
120,P40818,['USP8'],[False]
121,P55210,['CASP7'],[False]
122,P11233,['RALA'],[False]
123,P17947,['SPI1'],[False]
124,P21333,['FLNA'],[False]
125,P06401,['PGR'],[False]
126,P08235,['NR3C2'],[False]
127,P78362,['SRPK2'],[False]
128,P02511,['CRYAB'],[False]
129,Q8IVH8,['MAP4K3'],[False]
130,P04083,['ANXA1'],[False]
131,P21580,['TNFAIP3'],[False]
132,P50750,['CDK9'],[False]
133,P61587,['RND3'],[False]
134,Q15596,['NCOA2'],[False]
135,P52732,['KIF11'],[False]
136,O95071,['UBR5'],[False]
137,Q13148,['TARDBP'],[False]
138,P36952,['SERPINB5'],[False]
139,Q92793,['CREBBP'],[False]
