Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	PubMed ID
A1A4Y4	reviewed	IRGM_HUMAN	Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)	IRGM IFI1 IRGM1 LRG47	Homo sapiens (Human)	181	19266026; 15372022; 15489334; 16277747; 16888103; 17554261; 19165925; 19750224; 19174780; 20106866; 21102437; 21278745; 25891078; 28389568; 29420192; 30612879; 32715615; 32939830; 32753672; 34467632; 36221902
A8K0Z3	reviewed	WASH1_HUMAN	WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1)	WASHC1 FAM39E WASH1	Homo sapiens (Human)	465	14702039; 15164053; 10655549; 18159949; 19922874; 19922875; 20498093; 22114305; 23452853; 24344185; 29084197
A8MW95	reviewed	BECN2_HUMAN	Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1)	BECN2 BECN1L1 BECN1P1	Homo sapiens (Human)	431	23954414; 16710414; 28218432
C4AMC7	reviewed	WASH3_HUMAN	Putative WAS protein family homolog 3 (Protein FAM39DP)	WASH3P FAM39DP	Homo sapiens (Human)	463	16572171; 15489334; 10655549; 18159949; 20175130; 20498093
O00165	reviewed	HAX1_HUMAN	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	HAX1 HS1BP1	Homo sapiens (Human)	279	9058808; 18472110; 14702039; 16710414; 15489334; 10760273; 15339924; 16857965; 17545607; 17241641; 17187068; 18337561; 18319618; 18971376; 20171186; 21269460; 20665473; 23164465; 24188827; 23186163; 24275569; 25298122; 25944712; 26915802; 26997484; 19796188; 20220065
O00206	reviewed	TLR4_HUMAN	Toll-like receptor 4 (hToll) (CD antigen CD284)	TLR4	Homo sapiens (Human)	839	9237759; 9435236; 11104518; 10835634; 18810425; 19924287; 14702039; 15164053; 15489334; 15340161; 11081518; 11274165; 11706042; 14519765; 14517278; 15265881; 15356101; 15809303; 16622205; 17292937; 17098818; 17478729; 20865800; 21393102; 20037584; 19846529; 20711192; 21602844; 23880187; 23569230; 24265315; 25736436; 27022195; 29038465; 28334607; 30573680; 32894580; 36232715; 17803912; 19252480; 22363519; 11514453; 15829498; 25787250
O00214	reviewed	LEG8_HUMAN	Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)	LGALS8	Homo sapiens (Human)	317	8692978; 10980616; 16710414; 15489334; 19268462; 22246324; 28077878; 21288902
O00443	reviewed	P3C2A_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)	PIK3C2A	Homo sapiens (Human)	1686	9337861; 14702039; 16554811; 15489334; 10766823; 10805725; 11606566; 11239472; 14563213; 12719431; 16215232; 18691976; 18669648; 19413330; 19369195; 19690332; 21081650; 20068231; 21269460; 21127054; 17371240; 21406692; 23186163; 24275569; 31034465; 17038310
O00459	reviewed	P85B_HUMAN	Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)	PIK3R2	Homo sapiens (Human)	728	1314371; 9582025; 15057824; 15489334; 9178760; 9600074; 15102829; 18348712; 18669648; 19369195; 19690332; 20068231; 21269460; 23186163; 23604317; 23745724; 22729224; 25944712; 28903391; 26520804; 26860062
O00522	reviewed	KRIT1_HUMAN	Krev interaction trapped protein 1 (Krev interaction trapped 1) (Cerebral cavernous malformations 1 protein)	KRIT1 CCM1	Homo sapiens (Human)	736	9285558; 11161791; 11161805; 12172908; 14702039; 12853948; 15489334; 11342228; 11741838; 11854171; 17916086; 20332120; 20668652; 20616044; 21633110; 26417067; 22577140; 23007647; 23317506; 26458359
