,Gene,Alphafold IDR Content,Length,Localization,MultiUniReD Protein Counts,HIPPIE Protein Counts
A1A4Y4,IRGM,0.0,181,"['Golgi apparatus membrane', 'Cell membrane', 'Cytoplasmic vesicle, phagosome membrane', 'Cytoplasmic vesicle, autophagosome membrane', 'Lysosome membrane', 'Late endosome membrane', 'Mitochondrion membrane', 'Cell projection, phagocytic cup']",259,17
A4D1S5,RAB19,17.1,217,['Cell membrane; Lipid-anchor; Cytoplasmic side'],0,12
A5D8V6,VPS37C,61.7,355,['Late endosome membrane; Peripheral membrane protein'],24,125
A6NC51,TMEM150B,10.3,233,"['Cell membrane; Multi-pass membrane protein', 'Endosome membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle, autophagosome membrane; Multi-pass membrane protein']",44,0
A6NCE7,MAP1LC3B2,0.0,125,"['Cytoplasmic vesicle, autophagosome membrane; Lipid-anchor', 'Endomembrane system; Lipid-anchor', 'Cytoplasm, cytoskeleton']",0,16
A6NDU8,RIMOC1,6.1,294,"['Cytoplasm, cytosol']",0,0
A8MW95,BECN2,24.1,431,['Cytoplasm'],139,6
O00189,AP4M1,6.8,453,"['Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein', 'Early endosome']",167,46
O00204,SULT2B1,19.5,365,"['Cytoplasm, cytosol', 'Microsome', 'Nucleus']",28,49
O00214,LGALS8,2.8,317,"['Cytoplasmic vesicle', 'Cytoplasm, cytosol']",315,160
O00273,DFFA,29.3,331,['Cytoplasm'],20,57
O00488,ZNF593,38.8,134,"['Nucleus, nucleolus', 'Cytoplasm']",1,50
O00750,PIK3C2B,19.3,1634,"['Microsome', 'Cell membrane', 'Cytoplasm, cytosol', 'Nucleus', 'Endoplasmic reticulum']",133,38
O14681,EI24,8.8,340,"['Nucleus membrane; Multi-pass membrane protein', 'Cytoplasm', 'Endoplasmic reticulum membrane; Multi-pass membrane protein']",54,64
O14832,PHYH,12.7,338,['Peroxisome'],1,23
O14925,TIMM23,43.5,209,['Mitochondrion inner membrane; Multi-pass membrane protein'],114,61
O14964,HGS,53.7,777,"['Cytoplasm', 'Early endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Endosome, multivesicular body membrane; Peripheral membrane protein']",225,448
O15040,TECPR2,32.7,1411,None,14,13
O15118,NPC1,4.2,1278,"['Late endosome membrane; Multi-pass membrane protein', 'Lysosome membrane; Multi-pass membrane protein']",291,323
O15294,OGT,4.0,1046,"['Nucleus', 'Cytoplasm']",183,192
O15321,TM9SF1,5.1,606,"['Lysosome membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle, autophagosome membrane; Multi- pass membrane protein']",123,37
O15350,TP73,56.3,636,"['Nucleus', 'Cytoplasm']",114,147
O43236,SEPTIN4,40.0,478,"['Cytoplasm', 'Cell projection, cilium, flagellum', 'Cytoplasmic vesicle, secretory vesicle', 'Cell projection, axon', 'Cell projection, dendrite', 'Perikaryon', 'Synapse']",32,32
O43299,AP5Z1,7.4,807,"['Cytoplasm', 'Nucleus']",48,25
O43353,RIPK2,27.0,540,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein', 'Endoplasmic reticulum']",320,94
O43464,HTRA2,31.4,458,"['Mitochondrion intermembrane space', 'Mitochondrion membrane; Single-pass membrane protein']",91,220
O43633,CHMP2A,53.2,222,"['Late endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Nucleus envelope']",81,67
O60260,PRKN,13.8,465,"['Cytoplasm, cytosol', 'Nucleus', 'Endoplasmic reticulum', 'Mitochondrion', 'Mitochondrion outer membrane', 'Cell projection, neuron projection', 'Postsynaptic density', 'Presynapse']",835,0
O60356,NUPR1,97.6,82,"['Nucleus', 'Cytoplasm', 'Cytoplasm, perinuclear region']",83,656
O60478,GPR137B,27.6,399,['Lysosome membrane; Multi-pass membrane protein'],119,9
O60784,TOM1,46.3,492,"['Cytoplasm', 'Endosome membrane; Peripheral membrane protein', 'Early endosome membrane; Peripheral membrane protein']",93,64
O60927,PPP1R11,100.0,126,None,28,16
O75143,ATG13,62.3,517,"['Cytoplasm, cytosol', 'Preautophagosomal structure']",172,38
O75323,NIPSNAP2,21.0,286,"['Cytoplasm', 'Mitochondrion outer membrane']",206,146
O75324,SNN,93.2,88,['Mitochondrion outer membrane; Single-pass membrane protein'],6,6
O75351,VPS4B,8.1,444,['Late endosome membrane; Peripheral membrane protein'],217,64
O75385,ULK1,54.2,1050,"['Cytoplasm, cytosol', 'Preautophagosomal structure']",545,105
O75469,NR1I2,17.5,434,['Nucleus'],88,42
O75629,CREG1,20.0,220,['Secreted'],88,22
O75886,STAM2,52.8,525,"['Cytoplasm', 'Early endosome membrane; Peripheral membrane protein; Cytoplasmic side']",103,96
O76070,SNCG,65.4,127,"['Cytoplasm, perinuclear region', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle']",80,35
