,Uniprot ID
0,P49913
1,P27695
2,P0DMM9
3,P13569
4,P0DN86
5,P38936
6,P49918
7,P46527
8,P14061
9,Q13541
10,P04150
11,P10912
12,P17096
13,P78356
14,P27694
15,P19793
16,P63027
17,P37840
18,Q8WZ42
19,P04818
20,P03372
21,P11387
22,P01100
23,Q92731
24,P61244
25,Q04206
26,P04637
27,Q14722
28,Q08209
29,P50440
30,P10163
31,P01730
32,P22531
33,Q06787
34,P12272
35,O95405
36,Q13426
37,P01112
38,P54725
39,O75324
40,P19429
41,Q9NVS9
42,P04049
43,O00273
44,Q9NQB0
45,Q9Y5B0
46,P11473
47,P20810
48,P20963
49,P10451
50,O60927
51,P14635
52,P05455
53,Q14449
54,P14859
55,P02686
56,P38398
57,P35611
58,P35612
59,P23025
60,P01106
61,Q16665
62,Q04656
63,P40337
64,P10415
65,Q07817
66,P31751
67,Q07108
68,P51946
69,P06132
70,P00533
71,P62495
72,P24071
73,Q9UJY5
74,O43464
75,O15350
76,P05121
77,Q9UM07
78,P11309
79,O75469
80,P09651
81,O14832
82,P21815
83,P27797
84,Q00987
85,P16442
86,Q9Y6Q9
87,Q99967
88,P62328
89,Q15185
90,Q16222
91,Q15382
92,Q9NR00
93,P08047
94,P35869
95,P49841
96,Q09161
97,P52298
98,O00204
99,P78504
100,Q96T21
101,P53350
102,P43351
103,Q14191
104,P02511
105,Q9Y613
106,Q9Y3D6
107,Q13485
108,P04156
109,P25963
110,P50542
111,Q49AN0
112,Q9UBE0
113,Q9UBT2
114,P10275
115,P04234
116,P07766
117,P09693
118,P30273
119,O60356
120,P52179
121,P25054
122,Q969F2
123,O95997
124,O43236
125,P51608
126,Q14061
127,Q9NX55
128,O00488
129,P16860
130,Q9NZ94
131,Q9C000
132,Q16143
133,P49354
134,Q9Y296
135,P63098
136,P09132
137,P54252
138,P11233
139,P48539
140,Q16595
141,Q13573
142,P30291
143,P02788
144,P60896
145,P00736
146,P35638
147,P15309
148,O76070
149,Q09472
150,P51671
151,P00441
152,P32004
153,Q29983
154,Q92886
155,P11171
156,Q99801
157,Q8N488
158,Q9Y258
159,P46937
160,P24522
161,Q15517
162,Q9UER7
163,Q9Y3M2
164,Q9UGL1
165,P02545
166,P37231
167,Q13569
168,Q9UKV8
169,P01160
170,P46108
171,Q9BSY4
172,O00585
173,P15311
174,P05387
175,P50616
176,P15382
177,O15273
178,P41236
179,Q16186
180,O14733
181,O60888
182,Q9BQ15
183,Q6P3W2
184,Q9H981
185,P21246
186,P08240
187,O75496
188,P47813
189,Q9HB71-2
190,P41567
191,Q8N4Q1
192,P21583
193,Q9BQB4
194,P80723
195,P61925
196,Q12972
197,Q93009
198,Q9HAU5
199,P17677
200,Q9H832
201,O15169
202,P52630
203,P42224
204,Q02548
205,P46108-2
206,Q01101
207,P27708
208,Q76LA1
209,Q9Y6C2
210,Q9NQI0
211,Q9NQI0-2
212,Q9UBB5
213,P42568
214,P61244-2
215,Q16222-2
216,O00204-2
217,P10636-8
218,P35637
219,Q13698
220,P46531
221,P16471
222,Q13148
223,P22626
224,Q9UHD9
225,Q13501
226,P27986
227,P16333
228,Q16236
229,Q03164
230,O60566
231,Q12834
232,P35222
233,P24864
234,P43403
235,Q9Y261
236,O43806
237,P49757
238,O14558
239,Q12778
240,Q00987-11
241,P10071
242,Q6FI81
243,Q14457
244,P07305
245,P04908
246,P06899
247,A6NF83
248,Q9UMS4
249,Q96SD1
250,O14974
251,Q13625
252,Q9HAN9
253,P02730
254,O00268
255,P42768
256,O43516
257,Q15726
258,O43474
259,Q14978
260,O96013
261,P55036
262,Q9H211
263,O75807
264,Q15797
265,O43312
266,Q9UMZ1
267,P55735
268,P20591
269,Q9UJX2
270,P19634
271,O76074
272,O95292
273,P61073
274,P01137
275,P05386
276,P12956
277,P13010
278,P41208
279,P49848
280,Q9H816
281,Q8NG31
282,Q15691
283,Q6VMQ6
284,Q68DK7
285,Q8N5Y2
286,P05067
287,Q16576
288,Q9Y3E7
289,P24928
290,O43313
291,P49768
292,Q13542
293,O14519
294,Q03518
295,O60828
296,P50750
297,Q8WUP2
298,Q6NUK1
299,Q9UMX1
300,O60741
301,Q15796
302,Q9HCJ0
303,O43236-6
304,Q9Y4P1
305,Q8IV16
306,Q9C0C7
307,P28324
308,P17931
309,O00522
310,O94907
311,Q96B02
312,P52564
313,Q13469
314,Q9UNL4
315,P15927
316,P62826
317,Q8WXE9
318,P01130
319,P45985
320,Q92913
321,Q16543
322,Q15004
323,P06400
324,Q01094
325,P31431
326,O60829
327,O14936
328,P14921
329,Q9UJX4
330,P30260
331,Q9Y239
332,P30281
333,Q15637
334,Q9UKT4
335,Q9UBU9
336,Q13042
337,Q8NHZ8
338,P60006
339,Q96DE5
340,Q01081
341,Q92973
342,Q9Y3B4
343,Q13188
344,Q9UHB7
345,Q8IW19
346,Q96GU1
347,P06748
348,Q02413
349,Q9UJX5
350,Q9UJX3
351,Q96FI4
352,P04626
353,P11912
354,P40259
355,Q9UBK2
356,Q9NR61
357,P22059
358,P09429
359,P08263
360,Q9UQC2
361,Q15418
362,Q06710
363,Q02297-10
364,Q9UM11
365,Q9UJX6
366,O75554
367,Q9NS23-4
368,Q07889
369,O00429-3
370,P06401
371,Q8WV28
372,P29274
373,Q8WYP5
374,Q99523
375,P33763
376,P23443
377,Q96GC6
378,Q9UMR2
379,P08235
380,Q12905
381,P12931
382,P06239
383,P52799
384,Q92945
385,P52945
386,Q9BRG1
387,P26599
388,Q86WV6
389,Q96IZ0
390,Q9Y6H6
391,Q96AC1
392,Q14653
393,Q9NR28
394,P20823
395,Q06609
396,Q01831
397,P29083
398,Q8NI22
399,Q13351
400,Q07955
401,O75506
402,P09038
403,P35236
404,P51449
405,P84022
406,Q96T88
407,P36578
408,P55957
409,P12081
410,O75928
411,O14686
412,P06454
413,P02549
414,Q5VZK9
415,P62318
416,Q07666
417,Q9NT62
418,O95644
419,Q7Z3C6
420,P52597
421,P04271
422,Q6PHW0
423,P48788
424,P05556
425,P62877
426,O43172
427,Q13029
428,P37173
429,O95718
430,Q9NQA5
431,Q9H1D0
432,P58753
433,Q8WUG5
434,P50402
435,P78560
436,Q07912
437,P98170
438,O75112-6
439,Q53GG5
440,Q86UX7
441,P98177
442,P15941
443,Q9BUH6
444,O96017
445,P49790
446,P53999
447,P40855
448,P49005
449,Q15910
450,O43715
451,O14713
452,P08514
453,P05106
454,Q92540
455,Q13451
456,P05107
457,O60260
458,Q9NQC3-1
459,P09012
460,P01042
461,O75533
462,P51587
463,O95630
464,Q99075
465,O95149
466,P52926
467,Q96AY2
468,Q9UPR3
469,Q15596
470,P02655
471,Q9UKT5
472,O14776
473,O60885
474,Q13568
475,Q96RI1
476,Q92900
477,Q02078
478,P83731
479,P11021
480,P50553
481,Q9NRY2
482,P21333
483,P04083
484,P0CF51
485,P13693
486,P39748
487,P35520
488,P49736
489,Q8TEK3
490,Q14493
491,P36894
492,O14745
493,P16220
494,Q92793
495,P47710
496,P04183
497,Q9H2Y7
498,O75683
499,Q9NRJ3
500,P0DP23
501,P52272
502,P17405
503,P62805
504,P38919
505,Q13415
506,P28300
507,P02686-5
508,P49427
509,P28698
510,P60604
511,P52948
512,P30307
513,P02671
514,Q2TAZ0
515,Q676U5
516,Q9HD26
517,P61328-2
518,P16050
519,Q02388
520,Q8WUM0
521,Q8N726-1
522,O15234
523,P08621
524,Q9BS26
525,P51965
526,O00571
527,P15516
528,P02808
529,Q03519
530,P29375
531,P24385
532,Q99958
533,Q13547
534,P08476
535,P10721
536,P68363
537,Q96F86
538,P14598
539,P42226
540,Q8IVG9
541,Q9Y6K9
542,Q92905
543,Q96PU5
544,P63165
545,Q71UI9
546,Q15843
547,Q0JRZ9
548,Q96RF0
549,O43663
550,O14672
551,Q00169
552,P53779
553,Q9BUQ8
554,P13861
555,O60701
556,Q92804
557,Q9BTL3
558,Q8N5F7
559,P51825
560,P0DMV9
561,Q8IYB3
562,O14810
563,O95429
564,Q9H6Z4-3
565,Q13464
566,P29536
567,Q92837
568,Q96T58
569,O60706-2
570,Q15046
571,P08631
572,Q9NYB9
573,Q96GD4
574,Q9NQS7
575,Q8IZD2
576,Q7RTP6
577,Q04637
578,P06730
579,Q96N21
580,Q8IYW5
581,Q9P2K3-3
582,Q9BTT0
583,Q08050
584,P04198
585,P14653
586,P54274
587,P49765
588,P35568
589,Q5SQI0
590,Q86YV5
591,Q9BVI0
592,Q5T4W7
593,P15391
594,Q96RS0
595,Q8IU57
596,Q15583
597,Q8TEA8
598,Q9UKX7
599,O95400
