,Gene,Alphafold IDR Content,Length,Localization,HIPPIE Protein Counts
A0A087X1C5,CYP2D7,2.3,515,"['Membrane; Multi-pass membrane protein', 'Cytoplasm', 'Mitochondrion']",0
A0A0B4J2F0,PIGBOS1,100.0,54,['Mitochondrion outer membrane; Single-pass membrane protein'],0
A0A0C5B5G6,MT-RNR1,100.0,16,"['Secreted', 'Mitochondrion', 'Nucleus']",0
A0A0K2S4Q6,CD300H,39.3,201,None,0
A0A0U1RRE5,NBDY,100.0,68,"['Cytoplasm, P-body']",0
A0A1B0GTW7,CIROP,20.2,788,['Membrane; Single-pass type I membrane protein'],0
A0AV02,SLC12A8,36.6,714,['Membrane; Multi-pass membrane protein'],5
A0AV96,RBM47,49.7,593,"['Nucleus', 'Cytoplasm']",152
A0AVF1,IFT56,5.4,554,"['Cell projection, cilium']",41
A0AVI4,TMEM129,0.0,362,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],20
A0AVK6,E2F8,76.7,867,['Nucleus'],11
A0AVT1,UBA6,4.7,1052,None,58
A0FGR8,ESYT2,30.8,921,"['Cell membrane; Peripheral membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein']",104
A0FGR9,ESYT3,31.2,886,"['Cell membrane; Peripheral membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein']",4
A0JLT2,MED19,99.6,244,['Nucleus'],98
A0JNW5,BLTP3B,37.1,1464,"['Cytoplasm, cytosol', 'Early endosome']",0
A0JP26,POTEB3,44.1,581,None,0
A0M8Q6,IGLC7,0.0,106,"['Secreted', 'Cell membrane']",0
A0MZ66,SHTN1,70.0,631,"['Perikaryon', 'Cell projection, axon', 'Cell projection, growth cone', 'Cytoplasm, cytoskeleton', 'Cell projection, filopodium', 'Cell projection, lamellipodium']",50
A0PJK1,SLC5A10,3.0,596,['Apical cell membrane; Multi-pass membrane protein'],2
A0PJY2,FEZF1,61.7,475,['Nucleus'],19
A0PK00,TMEM120B,6.2,339,['Nucleus inner membrane; Multi-pass membrane protein'],66
A0PK11,CLRN2,7.8,232,"['Cell projection, stereocilium membrane; Multi-pass membrane protein']",51
A1A4S6,ARHGAP10,21.6,786,"['Cytoplasm', 'Cytoplasm, perinuclear region', 'Cell membrane', 'Endosome membrane']",15
A1A4Y4,IRGM,0.0,181,"['Golgi apparatus membrane', 'Cell membrane', 'Cytoplasmic vesicle, phagosome membrane', 'Cytoplasmic vesicle, autophagosome membrane', 'Lysosome membrane', 'Late endosome membrane', 'Mitochondrion membrane', 'Cell projection, phagocytic cup']",12
A1A519,FAM170A,76.1,330,['Nucleus'],10
A1A5B4,ANO9,10.5,782,['Cell membrane; Multi-pass membrane protein'],3
A1A5C7,SLC22A23,26.7,686,['Membrane; Multi-pass membrane protein'],22
A1E959,ODAM,100.0,279,"['Secreted', 'Cytoplasm', 'Nucleus']",9
A1KXE4,FAM168B,100.0,195,"['Cytoplasm, perinuclear region', 'Cell membrane; Multi-pass membrane protein', 'Cell projection, axon']",36
A1KZ92,PXDNL,7.5,1463,"['Secreted', 'Endoplasmic reticulum', 'Cell membrane']",15
