UniProt Acc,Gene Name,Protein Name
P21675,TAF1,Transcription initiation factor TFIID subunit 1
P20226,TBP,TATA-box-binding protein
P55072,VCP,Transitional endoplasmic reticulum ATPase
Q13153,PAK1,Serine/threonine-protein kinase PAK 1
Q14155,ARHGEF7,Rho guanine nucleotide exchange factor 7
P63000,RAC1,Ras-related C3 botulinum toxin substrate 1
P54252,ATXN3,Ataxin-3
Q9BRT9,GINS4,DNA replication complex GINS protein SLD5
Q14691,GINS1,DNA replication complex GINS protein PSF1
Q07820,MCL1,Induced myeloid leukemia cell differentiation protein Mcl-1
O43521,BCL2L11,Bcl-2-like protein 11
P40763,STAT3,Signal transducer and activator of transcription 3
P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta
P27361,MAPK3,Mitogen-activated protein kinase 3
Q16828,DUSP6,Dual specificity protein phosphatase 6
Q9UNZ2,NSFL1C,NSFL1 cofactor p47
Q15542,TAF5,Transcription initiation factor TFIID subunit 5
P49848,TAF6,Transcription initiation factor TFIID subunit 6
O00410,IPO5,Importin-5
P62826,RAN,GTP-binding nuclear protein Ran
Q15052,ARHGEF6,Rho guanine nucleotide exchange factor 6
O95155,UBE4B,Ubiquitin conjugation factor E4 B
Q13043,STK4,Serine/threonine-protein kinase 4
Q9H4B6,SAV1,Protein salvador homolog 1
Q07812,BAX,Apoptosis regulator BAX
P49023,PXN,Paxillin
Q05397,PTK2,Focal adhesion kinase 1
Q12962,TAF10,Transcription initiation factor TFIID subunit 10
Q7Z7C8,TAF8,Transcription initiation factor TFIID subunit 8
Q86TM6,SYVN1,E3 ubiquitin-protein ligase synoviolin
P11940,PABPC1,Polyadenylate-binding protein 1
P15170,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A
Q13480,GAB1,GRB2-associated-binding protein 1
Q06124,PTPN11,Tyrosine-protein phosphatase non-receptor type 11
Q02750,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1
P60953,CDC42,Cell division control protein 42 homolog
Q58A45,PAN3,PAN2-PAN3 deadenylation complex subunit PAN3
Q16514,TAF12,Transcription initiation factor TFIID subunit 12
P26447,S100A4,Protein S100-A4
P35579,MYH9,Myosin-9
P63104,YWHAZ,14-3-3 protein zeta/delta
P10636,MAPT,Microtubule-associated protein tau
Q9Y248,GINS2,DNA replication complex GINS protein PSF2
Q92783,STAM,Signal transducing adapter molecule 1
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate
P23458,JAK1,Tyrosine-protein kinase JAK1
Q15276,RABEP1,Rab GTPase-binding effector protein 1
P20339,RAB5A,Ras-related protein Rab-5A
Q8NEB9,PIK3C3,Phosphatidylinositol 3-kinase catalytic subunit type 3
Q14457,BECN1,Beclin-1
Q13177,PAK2,Serine/threonine-protein kinase PAK 2
O95630,STAMBP,STAM-binding protein
P27986,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha
Q96CS3,FAF2,FAS-associated factor 2
O96018,APBA3,Amyloid-beta A4 precursor protein-binding family A member 3
P05067,APP,Amyloid-beta precursor protein
Q8WWW0,RASSF5,Ras association domain-containing protein 5
P56524,HDAC4,Histone deacetylase 4
P62993,GRB2,Growth factor receptor-bound protein 2
O43639,NCK2,Cytoplasmic protein NCK2
P60484,PTEN,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"
Q8TAT6,NPLOC4,Nuclear protein localization protein 4 homolog
P18206,VCL,Vinculin
P15498,VAV1,Proto-oncogene vav
O14727,APAF1,Apoptotic protease-activating factor 1
P55211,CASP9,Caspase-9
Q92890,UFD1,Ubiquitin recognition factor in ER-associated degradation protein 1
Q96CV9,OPTN,Optineurin
P61006,RAB8A,Ras-related protein Rab-8A
P28482,MAPK1,Mitogen-activated protein kinase 1
P46109,CRKL,Crk-like protein
P31749,AKT1,RAC-alpha serine/threonine-protein kinase
Q92934,BAD,Bcl2-associated agonist of cell death
P27635,RPL10,Large ribosomal subunit protein uL16
P40429,RPL13A,Large ribosomal subunit protein uL13
Q6P1X5,TAF2,Transcription initiation factor TFIID subunit 2
Q13418,ILK,Scaffold protein ILK
P67775,PPP2CA,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
P16333,NCK1,SH2/SH3 adapter protein NCK1
P46108,CRK,Adapter molecule crk
P68431,H3C8,Histone H3.1
Q04323,UBXN1,UBX domain-containing protein 1
Q15543,TAF13,Transcription initiation factor TFIID subunit 13
P34741,SDC2,Syndecan-2
O00560,SDCBP,Syntenin-1
P62258,YWHAE,14-3-3 protein epsilon
O75791,GRAP2,GRB2-related adapter protein 2
P31946,YWHAB,14-3-3 protein beta/alpha
P54829,PTPN5,Tyrosine-protein phosphatase non-receptor type 5
P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8
O75914,PAK3,Serine/threonine-protein kinase PAK 3
Q96RU7,TRIB3,Tribbles homolog 3
P36507,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2
Q9Y2X7,GIT1,ARF GTPase-activating protein GIT1
P36578,RPL4,Large ribosomal subunit protein uL4
P46777,RPL5,Large ribosomal subunit protein uL18
Q00987,MDM2,E3 ubiquitin-protein ligase Mdm2
P62750,RPL23A,Large ribosomal subunit protein uL23
P19174,PLCG1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"
P62829,RPL23,Large ribosomal subunit protein uL14
Q16539,MAPK14,Mitogen-activated protein kinase 14
P62913,RPL11,Large ribosomal subunit protein uL5
Q15349,RPS6KA2,Ribosomal protein S6 kinase alpha-2
P16035,TIMP2,Metalloproteinase inhibitor 2
P50281,MMP14,Matrix metalloproteinase-14
P05388,RPLP0,Large ribosomal subunit protein uL10
Q9BPZ7,MAPKAP1,Target of rapamycin complex 2 subunit MAPKAP1
Q15256,PTPRR,Receptor-type tyrosine-protein phosphatase R
Q9Y263,PLAA,Phospholipase A-2-activating protein
P32969,RPL9P9,Large ribosomal subunit protein uL6
P29353,SHC1,SHC-transforming protein 1
O75486,SUPT3H,Transcription initiation protein SPT3 homolog
Q07960,ARHGAP1,Rho GTPase-activating protein 1
P49366,DHPS,Deoxyhypusine synthase
Q9HAV4,XPO5,Exportin-5
O14745,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1
P28562,DUSP1,Dual specificity protein phosphatase 1
P27448,MARK3,MAP/microtubule affinity-regulating kinase 3
P62917,RPL8,Large ribosomal subunit protein uL2
Q9UBP0,SPAST,Spastin
P53990,IST1,IST1 homolog
P06241,FYN,Tyrosine-protein kinase Fyn
P42766,RPL35,Large ribosomal subunit protein uL29
P08581,MET,Hepatocyte growth factor receptor
P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K
Q9H4E5,RHOJ,Rho-related GTP-binding protein RhoJ
P51812,RPS6KA3,Ribosomal protein S6 kinase alpha-3
