Entry	Entry Name	Protein names	Length	Gene Names (primary)	Gene Names (synonym)
A1A4Y4	IRGM_HUMAN	Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)	181	IRGM	IFI1 IRGM1 LRG47
A5D8V6	VP37C_HUMAN	Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C)	355	VPS37C	PML39
A8MW95	BECN2_HUMAN	Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1)	431	BECN2	BECN1L1 BECN1P1
O00189	AP4M1_HUMAN	AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4)	453	AP4M1	MUARP2
O00214	LEG8_HUMAN	Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)	317	LGALS8	
O00750	P3C2B_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.137) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	1634	PIK3C2B	
O14681	EI24_HUMAN	Etoposide-induced protein 2.4 homolog (p53-induced gene 8 protein)	340	EI24	PIG8
O14964	HGS_HUMAN	Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	777	HGS	HRS
O15027	SC16A_HUMAN	Protein transport protein Sec16A (SEC16 homolog A) (p250)	2357	SEC16A	KIAA0310 SEC16 SEC16L
O15040	TCPR2_HUMAN	Tectonin beta-propeller repeat-containing protein 2 (WD repeat-containing protein KIAA0329/KIAA0297)	1411	TECPR2	KIAA0297 KIAA0329
O15118	NPC1_HUMAN	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	1278	NPC1	
O15294	OGT1_HUMAN	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	1046	OGT	
O43353	RIPK2_HUMAN	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	540	RIPK2	CARDIAK RICK RIP2
O43633	CHM2A_HUMAN	Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)	222	CHMP2A	BC2 CHMP2
